N,F_兵力函数
268,33
269,33
270,33
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,34
281,35
282,35
283,35
284,35
285,35
286,35
287,35
288,35
289,35
290,35
291,36
292,36
293,36
294,36
295,36
296,36
297,36
298,36
299,36
300,36
301,38
302,38
303,38
304,38
305,38
306,38
307,38
308,38
309,38
310,38
311,39
312,39
313,39
314,39
315,39
316,39
317,39
318,39
319,39
320,39
321,40
322,40
323,40
324,40
325,40
326,40
327,40
328,40
329,40
330,40
331,41
332,41
333,41
334,41
335,41
336,41
337,41
338,41
339,41
340,41
341,42
342,42
343,42
344,42
345,42
346,42
347,42
348,42
349,42
350,42
351,44
352,44
353,44
354,44
355,44
356,44
357,44
358,44
359,44
360,44
361,45
362,45
363,45
364,45
365,45
366,45
367,45
368,45
369,45
370,45
371,46
372,46
373,46
374,46
375,46
376,46
377,46
378,46
379,46
380,46
381,47
382,47
383,47
384,47
385,47
386,47
387,47
388,47
389,47
390,47
391,48
392,48
393,48
394,48
395,48
396,48
397,48
398,48
399,48
400,48
401,50
402,50
403,50
404,50
405,50
406,50
407,50
408,50
409,50
410,50
411,51
412,51
413,51
414,51
415,51
416,51
417,51
418,51
419,51
420,51
421,52
422,52
423,52
424,52
425,52
426,52
427,52
428,52
429,52
430,52
431,53
432,53
433,53
434,53
435,53
436,53
437,53
438,53
439,53
440,53
441,54
442,54
443,54
444,54
445,54
446,54
447,54
448,54
449,54
450,54
451,56
452,56
453,56
454,56
455,56
456,56
457,56
458,56
459,56
460,56
461,57
462,57
463,57
464,57
465,57
466,57
467,57
468,57
469,57
470,57
471,58
472,58
473,58
474,58
475,58
476,58
477,58
478,58
479,58
480,58
481,59
482,59
483,59
484,59
485,59
486,59
487,59
488,59
489,59
490,59
491,60
492,60
493,60
494,60
495,60
496,60
497,60
498,60
499,60
500,60
501,62
502,62
503,62
504,62
505,62
506,62
507,62
508,62
509,62
510,62
511,63
512,63
513,63
514,63
515,63
516,63
517,63
518,63
519,63
520,63
521,64
522,64
523,64
524,64
525,64
526,64
527,64
528,64
529,64
530,64
531,65
532,65
533,65
534,65
535,65
536,65
537,65
538,65
539,65
540,65
541,66
542,66
543,66
544,66
545,66
546,66
547,66
548,66
549,66
550,66
551,68
552,68
553,68
554,68
555,68
556,68
557,68
558,68
559,68
560,68
561,69
562,69
563,69
564,69
565,69
566,69
567,69
568,69
569,69
570,69
571,70
572,70
573,70
574,70
575,70
576,70
577,70
578,70
579,70
580,70
581,71
582,71
583,71
584,71
585,71
586,71
587,71
588,71
589,71
590,71
591,72
592,72
593,72
594,72
595,72
596,72
597,72
598,72
599,72
600,72
601,74
602,74
603,74
604,74
605,74
606,74
607,74
608,74
609,74
610,74
611,75
612,75
613,75
614,75
615,75
616,75
617,75
618,75
619,75
620,75
621,76
622,76
623,76
624,76
625,76
626,76
627,76
628,76
629,76
630,76
631,77
632,77
633,77
634,77
635,77
636,77
637,77
638,77
639,77
640,77
641,78
642,78
643,78
644,78
645,78
646,78
647,78
648,78
649,78
650,78
651,80
652,80
653,80
654,80
655,80
656,80
657,80
658,80
659,80
660,80
661,81
662,81
663,81
664,81
665,81
666,81
667,81
668,81
669,81
670,81
671,82
672,82
673,82
674,82
675,82
676,82
677,82
678,82
679,82
680,82
681,83
682,83
683,83
684,83
685,83
686,83
687,83
688,83
689,83
690,83
691,84
692,84
693,84
694,84
695,84
696,84
697,84
698,84
699,84
700,84
701,86
702,86
703,86
704,86
705,86
706,86
707,86
708,86
709,86
710,86
711,87
712,87
713,87
714,87
715,87
716,87
717,87
718,87
719,87
720,87
721,88
722,88
723,88
724,88
725,88
726,88
727,88
728,88
729,88
730,88
731,89
732,89
733,89
734,89
735,89
736,89
737,89
738,89
739,89
740,89
741,90
742,90
743,90
744,90
745,90
746,90
747,90
748,90
749,90
750,90
751,92
752,92
753,92
754,92
755,92
756,92
757,92
758,92
759,92
760,92
761,93
762,93
763,93
764,93
765,93
766,93
767,93
768,93
769,93
770,93
771,94
772,94
773,94
774,94
775,94
776,94
777,94
778,94
779,94
780,94
781,95
782,95
783,95
784,95
785,95
786,95
787,95
788,95
789,95
790,95
791,96
792,96
793,96
794,96
795,96
796,96
797,96
798,96
799,96
800,96
801,98
802,98
803,98
804,98
805,98
806,98
807,98
808,98
809,98
810,98
811,99
812,99
813,99
814,99
815,99
816,99
817,99
818,99
819,99
820,99
821,100
822,100
823,100
824,100
825,100
826,100
827,100
828,100
829,100
830,100
831,101
832,101
833,101
834,101
835,101
836,101
837,101
838,101
839,101
840,101
841,102
842,102
843,102
844,102
845,102
846,102
847,102
848,102
849,102
850,102
851,104
852,104
853,104
854,104
855,104
856,104
857,104
858,104
859,104
860,104
861,105
862,105
863,105
864,105
865,105
866,105
867,105
868,105
869,105
870,105
871,106
872,106
873,106
874,106
875,106
876,106
877,106
878,106
879,106
880,106
881,107
882,107
883,107
884,107
885,107
886,107
887,107
888,107
889,107
890,107
891,108
892,108
893,108
894,108
895,108
896,108
897,108
898,108
899,108
900,108
901,110
902,110
903,110
904,110
905,110
906,110
907,110
908,110
909,110
910,110
911,111
912,111
913,111
914,111
915,111
916,111
917,111
918,111
919,111
920,111
921,112
922,112
923,112
924,112
925,112
926,112
927,112
928,112
929,112
930,112
931,113
932,113
933,113
934,113
935,113
936,113
937,113
938,113
939,113
940,113
941,114
942,114
943,114
944,114
945,114
946,114
947,114
948,114
949,114
950,114
951,116
952,116
953,116
954,116
955,116
956,116
957,116
958,116
959,116
960,116
961,117
962,117
963,117
964,117
965,117
966,117
967,117
968,117
969,117
970,117
971,118
972,118
973,118
974,118
975,118
976,118
977,118
978,118
979,118
980,118
981,119
982,119
983,119
984,119
985,119
986,119
987,119
988,119
989,119
990,119
991,120
992,120
993,120
994,120
995,120
996,120
997,120
998,120
999,120
1000,120
1001,122
1002,122
1003,122
1004,122
1005,122
1006,122
1007,122
1008,122
1009,122
1010,122
1011,123
1012,123
1013,123
1014,123
1015,123
1016,123
1017,123
1018,123
1019,123
1020,123
1021,124
1022,124
1023,124
1024,124
1025,124
1026,124
1027,124
1028,124
1029,124
1030,124
1031,125
1032,125
1033,125
1034,125
1035,125
1036,125
1037,125
1038,125
1039,125
1040,125
1041,126
1042,126
1043,126
1044,126
1045,126
1046,126
1047,126
1048,126
1049,126
1050,126
1051,128
1052,128
1053,128
1054,128
1055,128
1056,128
1057,128
1058,128
1059,128
1060,128
1061,129
1062,129
1063,129
1064,129
1065,129
1066,129
1067,129
1068,129
1069,129
1070,129
1071,130
1072,130
1073,130
1074,130
1075,130
1076,130
1077,130
1078,130
1079,130
1080,130
1081,131
1082,131
1083,131
1084,131
1085,131
1086,131
1087,131
1088,131
1089,131
1090,131
1091,132
1092,132
1093,132
1094,132
1095,132
1096,132
1097,132
1098,132
1099,132
1100,132
1101,134
1102,134
1103,134
1104,134
1105,134
1106,134
1107,134
1108,134
1109,134
1110,134
1111,135
1112,135
1113,135
1114,135
1115,135
1116,135
1117,135
1118,135
1119,135
1120,135
1121,136
1122,136
1123,136
1124,136
1125,136
1126,136
1127,136
1128,136
1129,136
1130,136
1131,137
1132,137
1133,137
1134,137
1135,137
1136,137
1137,137
1138,137
1139,137
1140,137
1141,138
1142,138
1143,138
1144,138
1145,138
1146,138
1147,138
1148,138
1149,138
1150,138
1151,140
1152,140
1153,140
1154,140
1155,140
1156,140
1157,140
1158,140
1159,140
1160,140
1161,141
1162,141
1163,141
1164,141
1165,141
1166,141
1167,141
1168,141
1169,141
1170,141
1171,142
1172,142
1173,142
1174,142
1175,142
1176,142
1177,142
1178,142
1179,142
1180,142
1181,143
1182,143
1183,143
1184,143
1185,143
1186,143
1187,143
1188,143
1189,143
1190,143
1191,144
1192,144
1193,144
1194,144
1195,144
1196,144
1197,144
1198,144
1199,144
1200,144
1201,146
1202,146
1203,146
1204,146
1205,146
1206,146
1207,146
1208,146
1209,146
1210,146
1211,147
1212,147
1213,147
1214,147
1215,147
1216,147
1217,147
1218,147
1219,147
1220,147
1221,148
1222,148
1223,148
1224,148
1225,148
1226,148
1227,148
1228,148
1229,148
1230,148
1231,149
1232,149
1233,149
1234,149
1235,149
1236,149
1237,149
1238,149
1239,149
1240,149
1241,150
1242,150
1243,150
1244,150
1245,150
1246,150
1247,150
1248,150
1249,150
1250,150
1251,152
1252,152
1253,152
1254,152
1255,152
1256,152
1257,152
1258,152
1259,152
1260,152
1261,153
1262,153
1263,153
1264,153
1265,153
1266,153
1267,153
1268,153
1269,153
1270,153
1271,154
1272,154
1273,154
1274,154
1275,154
1276,154
1277,154
1278,154
1279,154
1280,154
1281,155
1282,155
1283,155
1284,155
1285,155
1286,155
1287,155
1288,155
1289,155
1290,155
1291,156
1292,156
1293,156
1294,156
1295,156
1296,156
1297,156
1298,156
1299,156
1300,156
1301,158
1302,158
1303,158
1304,158
1305,158
1306,158
1307,158
1308,158
1309,158
1310,158
1311,159
1312,159
1313,159
1314,159
1315,159
1316,159
1317,159
1318,159
1319,159
1320,159
1321,160
1322,160
1323,160
1324,160
1325,160
1326,160
1327,160
1328,160
1329,160
1330,160
1331,161
1332,161
1333,161
1334,161
1335,161
1336,161
1337,161
1338,161
1339,161
1340,161
1341,162
1342,162
1343,162
1344,162
1345,162
1346,162
1347,162
1348,162
1349,162
1350,162
1351,164
1352,164
1353,164
1354,164
1355,164
1356,164
1357,164
1358,164
1359,164
1360,164
1361,165
1362,165
1363,165
1364,165
1365,165
1366,165
1367,165
1368,165
1369,165
1370,165
1371,166
1372,166
1373,166
1374,166
1375,166
1376,166
1377,166
1378,166
1379,166
1380,166
1381,167
1382,167
1383,167
1384,167
1385,167
1386,167
1387,167
1388,167
1389,167
1390,167
1391,168
1392,168
1393,168
1394,168
1395,168
1396,168
1397,168
1398,168
1399,168
1400,168
1401,170
1402,170
1403,170
1404,170
1405,170
1406,170
1407,170
1408,170
1409,170
1410,170
1411,171
1412,171
1413,171
1414,171
1415,171
1416,171
1417,171
1418,171
1419,171
1420,171
1421,172
1422,172
1423,172
1424,172
1425,172
1426,172
1427,172
1428,172
1429,172
1430,172
1431,173
1432,173
1433,173
1434,173
1435,173
1436,173
1437,173
1438,173
1439,173
1440,173
1441,174
1442,174
1443,174
1444,174
1445,174
1446,174
1447,174
1448,174
1449,174
1450,174
1451,176
1452,176
1453,176
1454,176
1455,176
1456,176
1457,176
1458,176
1459,176
1460,176
1461,177
1462,177
1463,177
1464,177
1465,177
1466,177
1467,177
1468,177
1469,177
1470,177
1471,178
1472,178
1473,178
1474,178
1475,178
1476,178
1477,178
1478,178
1479,178
1480,178
1481,179
1482,179
1483,179
1484,179
1485,179
1486,179
1487,179
1488,179
1489,179
1490,179
1491,180
1492,180
1493,180
1494,180
1495,180
1496,180
1497,180
1498,180
1499,180
1500,180
1501,182
1502,182
1503,182
1504,182
1505,182
1506,182
1507,182
1508,182
1509,182
1510,182
1511,183
1512,183
1513,183
1514,183
1515,183
1516,183
1517,183
1518,183
1519,183
1520,183
1521,184
1522,184
1523,184
1524,184
1525,184
1526,184
1527,184
1528,184
1529,184
1530,184
1531,185
1532,185
1533,185
1534,185
1535,185
1536,185
1537,185
1538,185
1539,185
1540,185
1541,186
1542,186
1543,186
1544,186
1545,186
1546,186
1547,186
1548,186
1549,186
1550,186
1551,188
1552,188
1553,188
1554,188
1555,188
1556,188
1557,188
1558,188
1559,188
1560,188
1561,189
1562,189
1563,189
1564,189
1565,189
1566,189
1567,189
1568,189
1569,189
1570,189
1571,190
1572,190
1573,190
1574,190
1575,190
1576,190
1577,190
1578,190
1579,190
1580,190
1581,191
1582,191
1583,191
1584,191
1585,191
1586,191
1587,191
1588,191
1589,191
1590,191
1591,192
1592,192
1593,192
1594,192
1595,192
1596,192
1597,192
1598,192
1599,192
1600,192
1601,194
1602,194
1603,194
1604,194
1605,194
1606,194
1607,194
1608,194
1609,194
1610,194
1611,195
1612,195
1613,195
1614,195
1615,195
1616,195
1617,195
1618,195
1619,195
1620,195
1621,196
1622,196
1623,196
1624,196
1625,196
1626,196
1627,196
1628,196
1629,196
1630,196
1631,197
1632,197
1633,197
1634,197
1635,197
1636,197
1637,197
1638,197
1639,197
1640,197
1641,198
1642,198
1643,198
1644,198
1645,198
1646,198
1647,198
1648,198
1649,198
1650,198
1651,200
1652,200
1653,200
1654,200
1655,200
1656,200
1657,200
1658,200
1659,200
1660,200
1661,201
1662,201
1663,201
1664,201
1665,201
1666,201
1667,201
1668,201
1669,201
1670,201
1671,202
1672,202
1673,202
1674,202
1675,202
1676,202
1677,202
1678,202
1679,202
1680,202
1681,203
1682,203
1683,203
1684,203
1685,203
1686,203
1687,203
1688,203
1689,203
1690,203
1691,204
1692,204
1693,204
1694,204
1695,204
1696,204
1697,204
1698,204
1699,204
1700,204
1701,206
1702,206
1703,206
1704,206
1705,206
1706,206
1707,206
1708,206
1709,206
1710,206
1711,207
1712,207
1713,207
1714,207
1715,207
1716,207
1717,207
1718,207
1719,207
1720,207
1721,208
1722,208
1723,208
1724,208
1725,208
1726,208
1727,208
1728,208
1729,208
1730,208
1731,209
1732,209
1733,209
1734,209
1735,209
1736,209
1737,209
1738,209
1739,209
1740,209
1741,210
1742,210
1743,210
1744,210
1745,210
1746,210
1747,210
1748,210
1749,210
1750,210
1751,212
1752,212
1753,212
1754,212
1755,212
1756,212
1757,212
1758,212
1759,212
1760,212
1761,213
1762,213
1763,213
1764,213
1765,213
1766,213
1767,213
1768,213
1769,213
1770,213
1771,214
1772,214
1773,214
1774,214
1775,214
1776,214
1777,214
1778,214
1779,214
1780,214
1781,215
1782,215
1783,215
1784,215
1785,215
1786,215
1787,215
1788,215
1789,215
1790,215
1791,216
1792,216
1793,216
1794,216
1795,216
1796,216
1797,216
1798,216
1799,216
1800,216
1801,218
1802,218
1803,218
1804,218
1805,218
1806,218
1807,218
1808,218
1809,218
1810,218
1811,219
1812,219
1813,219
1814,219
1815,219
1816,219
1817,219
1818,219
1819,219
1820,219
1821,220
1822,220
1823,220
1824,220
1825,220
1826,220
1827,220
1828,220
1829,220
1830,220
1831,221
1832,221
1833,221
1834,221
1835,221
1836,221
1837,221
1838,221
1839,221
1840,221
1841,222
1842,222
1843,222
1844,222
1845,222
1846,222
1847,222
1848,222
1849,222
1850,222
1851,224
1852,224
1853,224
1854,224
1855,224
1856,224
1857,224
1858,224
1859,224
1860,224
1861,225
1862,225
1863,225
1864,225
1865,225
1866,225
1867,225
1868,225
1869,225
1870,225
1871,226
1872,226
1873,226
1874,226
1875,226
1876,226
1877,226
1878,226
1879,226
1880,226
1881,227
1882,227
1883,227
1884,227
1885,227
1886,227
1887,227
1888,227
1889,227
1890,227
1891,228
1892,228
1893,228
1894,228
1895,228
1896,228
1897,228
1898,228
1899,228
1900,228
1901,230
1902,230
1903,230
1904,230
1905,230
1906,230
1907,230
1908,230
1909,230
1910,230
1911,231
1912,231
1913,231
1914,231
1915,231
1916,231
1917,231
1918,231
1919,231
1920,231
1921,232
1922,232
1923,232
1924,232
1925,232
1926,232
1927,232
1928,232
1929,232
1930,232
1931,233
1932,233
1933,233
1934,233
1935,233
1936,233
1937,233
1938,233
1939,233
1940,233
1941,234
1942,234
1943,234
1944,234
1945,234
1946,234
1947,234
1948,234
1949,234
1950,234
1951,236
1952,236
1953,236
1954,236
1955,236
1956,236
1957,236
1958,236
1959,236
1960,236
1961,237
1962,237
1963,237
1964,237
1965,237
1966,237
1967,237
1968,237
1969,237
1970,237
1971,238
1972,238
1973,238
1974,238
1975,238
1976,238
1977,238
1978,238
1979,238
1980,238
1981,239
1982,239
1983,239
1984,239
1985,239
1986,239
1987,239
1988,239
1989,239
1990,239
1991,240
1992,240
1993,240
1994,240
1995,240
1996,240
1997,240
1998,240
1999,240
2000,240
2001,238
2002,238
2003,238
2004,238
2005,238
2006,239
2007,239
2008,239
2009,239
2010,239
2011,239
2012,239
2013,239
2014,239
2015,239
2016,239
2017,239
2018,239
2019,239
2020,240
2021,240
2022,240
2023,240
2024,240
2025,240
2026,240
2027,240
2028,240
2029,240
2030,240
2031,240
2032,240
2033,240
2034,241
2035,241
2036,241
2037,241
2038,241
2039,241
2040,241
2041,241
2042,241
2043,241
2044,241
2045,241
2046,242
2047,242
2048,242
2049,242
2050,242
2051,242
2052,242
2053,242
2054,242
2055,243
2056,243
2057,243
2058,243
2059,243
2060,243
2061,243
2062,243
2063,244
2064,244
2065,244
2066,244
2067,244
2068,244
2069,244
2070,244
2071,244
2072,244
2073,244
2074,244
2075,244
2076,244
2077,245
2078,245
2079,245
2080,245
2081,245
2082,245
2083,245
2084,245
2085,245
2086,245
2087,245
2088,245
2089,245
2090,245
2091,246
2092,246
2093,246
2094,246
2095,246
2096,246
2097,246
2098,246
2099,246
2100,246
2101,247
2102,247
2103,247
2104,247
2105,247
2106,247
2107,248
2108,248
2109,248
2110,248
2111,248
2112,248
2113,248
2114,248
2115,248
2116,248
2117,248
2118,248
2119,248
2120,249
2121,249
2122,249
2123,249
2124,249
2125,249
2126,249
2127,249
2128,249
2129,249
2130,249
2131,249
2132,249
2133,249
2134,250
2135,250
2136,250
2137,250
2138,250
2139,250
2140,250
2141,250
2142,250
2143,250
2144,250
2145,251
2146,251
2147,251
2148,251
2149,251
2150,251
2151,251
2152,252
2153,252
2154,252
2155,252
2156,252
2157,252
2158,252
2159,252
2160,252
2161,252
2162,252
2163,252
2164,252
2165,253
2166,253
2167,253
2168,253
2169,253
2170,253
2171,253
2172,253
2173,253
2174,253
2175,253
2176,253
2177,253
2178,253
2179,254
2180,254
2181,254
2182,254
2183,254
2184,254
2185,254
2186,254
2187,254
2188,254
2189,254
2190,254
2191,254
2192,254
2193,254
2194,254
2195,254
2196,255
2197,255
2198,255
2199,255
2200,256
2201,256
2202,256
2203,256
2204,256
2205,256
2206,256
2207,256
2208,256
2209,256
2210,256
2211,257
2212,257
2213,257
2214,257
2215,257
2216,257
2217,257
2218,257
2219,257
2220,257
2221,257
2222,257
2223,257
2224,257
2225,258
2226,258
2227,258
2228,258
2229,258
2230,258
2231,258
2232,258
2233,258
2234,258
2235,258
2236,258
2237,258
2238,258
2239,258
2240,258
2241,258
2242,259
2243,259
2244,259
2245,259
2246,259
2247,259
2248,259
2249,259
2250,259
2251,260
2252,260
2253,260
2254,260
2255,260
2256,260
2257,260
2258,260
2259,261
2260,261
2261,261
2262,261
2263,261
2264,261
2265,261
2266,261
2267,261
2268,261
2269,261
2270,261
2271,261
2272,261
2273,262
2274,262
2275,262
2276,262
2277,262
2278,262
2279,262
2280,262
2281,262
2282,262
2283,262
2284,262
2285,262
2286,262
2287,262
2288,262
2289,263
2290,263
2291,263
2292,263
2293,263
2294,263
2295,263
2296,263
2297,263
2298,263
2299,263
2300,264
2301,264
2302,264
2303,264
2304,264
2305,264
2306,264
2307,265
2308,265
2309,265
2310,265
2311,265
2312,265
2313,265
2314,265
2315,265
2316,265
2317,265
2318,265
2319,265
2320,265
2321,266
2322,266
2323,266
2324,266
2325,266
2326,266
2327,266
2328,266
2329,266
2330,266
2331,266
2332,266
2333,266
2334,266
2335,267
2336,267
2337,267
2338,267
2339,267
2340,267
2341,267
2342,267
2343,267
2344,267
2345,267
2346,267
2347,267
2348,267
2349,267
2350,267
2351,268
2352,268
2353,269
2354,269
2355,269
2356,269
2357,269
2358,269
2359,269
2360,269
2361,269
2362,269
2363,269
2364,269
2365,269
2366,269
2367,269
2368,269
2369,270
2370,270
2371,270
2372,270
2373,270
2374,270
2375,270
2376,270
2377,270
2378,270
2379,270
2380,270
2381,270
2382,270
2383,270
2384,270
2385,270
2386,270
2387,271
2388,271
2389,271
2390,271
2391,271
2392,271
2393,271
2394,271
2395,271
2396,271
2397,271
2398,271
2399,271
2400,272
2401,272
2402,273
2403,273
2404,273
2405,273
2406,273
2407,273
2408,273
2409,273
2410,273
2411,273
2412,273
2413,273
2414,273
2415,273
2416,273
2417,273
2418,273
2419,274
2420,274
2421,274
2422,274
2423,274
2424,274
2425,274
2426,274
2427,274
2428,274
2429,274
2430,274
2431,274
2432,274
2433,274
2434,274
2435,274
2436,274
2437,275
2438,275
2439,275
2440,275
2441,275
2442,275
2443,275
2444,275
2445,275
2446,275
2447,275
2448,275
2449,275
2450,275
2451,276
2452,276
2453,277
2454,277
2455,277
2456,277
2457,277
2458,277
2459,277
2460,277
2461,277
2462,277
2463,277
2464,277
2465,277
2466,277
2467,277
2468,277
2469,277
2470,278
2471,278
2472,278
2473,278
2474,278
2475,278
2476,278
2477,278
2478,278
2479,278
2480,278
2481,278
2482,278
2483,278
2484,279
2485,279
2486,279
2487,279
2488,279
2489,279
2490,279
2491,279
2492,279
2493,279
2494,279
2495,279
2496,279
2497,279
2498,279
2499,279
2500,279
2501,280
2502,280
2503,280
2504,281
2505,281
2506,281
2507,281
2508,281
2509,281
2510,281
2511,281
2512,281
2513,281
2514,281
2515,281
2516,281
2517,281
2518,281
2519,281
2520,281
2521,281
2522,282
2523,282
2524,282
2525,282
2526,282
2527,282
2528,282
2529,282
2530,282
2531,282
2532,282
2533,282
2534,282
2535,282
2536,282
2537,282
2538,282
2539,283
2540,283
2541,283
2542,283
2543,283
2544,283
2545,283
2546,283
2547,283
2548,283
2549,284
2550,284
2551,284
2552,284
2553,284
2554,284
2555,284
2556,284
2557,285
2558,285
2559,285
2560,285
2561,285
2562,285
2563,285
2564,285
2565,285
2566,285
2567,285
2568,285
2569,285
2570,285
2571,285
2572,285
2573,285
2574,285
2575,286
2576,286
2577,286
2578,286
2579,286
2580,286
2581,286
2582,286
2583,286
2584,286
2585,286
2586,286
2587,286
2588,286
2589,286
2590,286
2591,287
2592,287
2593,287
2594,287
2595,287
2596,287
2597,287
2598,287
2599,287
2600,287
2601,288
2602,288
2603,288
2604,288
2605,288
2606,288
2607,288
2608,288
2609,288
2610,288
2611,289
2612,289
2613,289
2614,289
2615,289
2616,289
2617,289
2618,289
2619,289
2620,289
2621,289
2622,289
2623,289
2624,289
2625,289
2626,289
2627,289
2628,289
2629,290
2630,290
2631,290
2632,290
2633,290
2634,290
2635,290
2636,290
2637,290
2638,290
2639,290
2640,290
2641,290
2642,290
2643,290
2644,290
2645,290
2646,290
2647,291
2648,291
2649,291
2650,291
2651,292
2652,292
2653,292
2654,292
2655,292
2656,292
2657,292
2658,292
2659,292
2660,292
2661,292
2662,292
2663,292
2664,292
2665,292
2666,292
2667,292
2668,293
2669,293
2670,293
2671,293
2672,293
2673,293
2674,293
2675,293
2676,293
2677,293
2678,293
2679,293
2680,293
2681,293
2682,293
2683,293
2684,294
2685,294
2686,294
2687,294
2688,294
2689,294
2690,294
2691,294
2692,294
2693,294
2694,294
2695,294
2696,294
2697,294
2698,294
2699,294
2700,294
2701,295
2702,295
2703,295
2704,295
2705,295
2706,296
2707,296
2708,296
2709,296
2710,296
2711,296
2712,296
2713,296
2714,296
2715,296
2716,296
2717,296
2718,296
2719,296
2720,296
2721,296
2722,297
2723,297
2724,297
2725,297
2726,297
2727,297
2728,297
2729,297
2730,297
2731,297
2732,297
2733,297
2734,297
2735,297
2736,297
2737,297
2738,297
2739,297
2740,298
2741,298
2742,298
2743,298
2744,298
2745,298
2746,298
2747,298
2748,298
2749,298
2750,299
2751,299
2752,299
2753,299
2754,299
2755,299
2756,299
2757,299
2758,299
2759,299
2760,300
2761,300
2762,300
2763,300
2764,300
2765,300
2766,300
2767,300
2768,300
2769,300
2770,300
2771,300
2772,300
2773,300
2774,300
2775,300
2776,300
2777,300
2778,300
2779,301
2780,301
2781,301
2782,301
2783,301
2784,301
2785,301
2786,301
2787,301
2788,301
2789,301
2790,301
2791,301
2792,301
2793,301
2794,301
2795,301
2796,301
2797,302
2798,302
2799,302
2800,302
2801,303
2802,303
2803,303
2804,303
2805,303
2806,303
2807,303
2808,303
2809,303
2810,303
2811,303
2812,303
2813,303
2814,303
2815,303
2816,303
2817,303
2818,304
2819,304
2820,304
2821,304
2822,304
2823,304
2824,304
2825,304
2826,304
2827,304
2828,304
2829,304
2830,304
2831,304
2832,304
2833,304
2834,304
2835,304
2836,305
2837,305
2838,305
2839,305
2840,305
2841,305
2842,305
2843,305
2844,305
2845,305
2846,305
2847,305
2848,305
2849,305
2850,305
2851,306
2852,306
2853,306
2854,306
2855,306
2856,307
2857,307
2858,307
2859,307
2860,307
2861,307
2862,307
2863,307
2864,307
2865,307
2866,307
2867,307
2868,307
2869,307
2870,307
2871,307
2872,307
2873,307
2874,307
2875,307
2876,307
2877,308
2878,308
2879,308
2880,308
2881,308
2882,308
2883,308
2884,308
2885,308
2886,308
2887,308
2888,308
2889,308
2890,308
2891,308
2892,308
2893,308
2894,308
2895,308
2896,308
2897,308
2898,309
2899,309
2900,309
2901,310
2902,310
2903,310
2904,310
2905,310
2906,310
2907,310
2908,310
2909,310
2910,310
2911,310
2912,310
2913,310
2914,310
2915,310
2916,310
2917,311
2918,311
2919,311
2920,311
2921,311
2922,311
2923,311
2924,311
2925,311
2926,311
2927,311
2928,311
2929,311
2930,311
2931,311
2932,311
2933,311
2934,311
2935,311
2936,311
2937,312
2938,312
2939,312
2940,312
2941,312
2942,312
2943,312
2944,312
2945,312
2946,312
2947,312
2948,312
2949,312
2950,312
2951,313
2952,313
2953,313
2954,313
2955,313
2956,313
2957,313
2958,314
2959,314
2960,314
2961,314
2962,314
2963,314
2964,314
2965,314
2966,314
2967,314
2968,314
2969,314
2970,314
2971,314
2972,314
2973,314
2974,314
2975,314
2976,314
2977,315
2978,315
2979,315
2980,315
2981,315
2982,315
2983,315
2984,315
2985,315
2986,315
2987,315
2988,315
2989,315
2990,315
2991,315
2992,315
2993,315
2994,315
2995,315
